index,cge_p1000852,cge_p1000850,cge_p1000857,cge_p1000854,cge_p524,cge_p1000866,cge_p1000840,cge_p1000860,cge_p507,cge_p1000864,cge_p1000844,cge_p1000862,cge_p1000842,cge_p1000848,cge_p504,cge_p515,cge_p509,cge_p540,cge_p510,cge_p1000859,iag_cientec
2015-03-28,19.442833333333333,18.969,17.16316666666667,19.33183333333333,19.3235,20.896333333333327,19.4545,20.5675,16.721833333333333,19.111833333333333,17.131333333333334,19.573666666666664,18.425333333333327,20.4565,18.737833333333327,19.8775,19.64583333333333,19.538333333333334,20.782166666666665,19.60216666666668,19.0
2015-03-29,18.982666666666667,18.818333333333328,18.576666666666668,18.96583333333333,18.8955,20.347333333333328,18.961,20.335666666666672,17.450166666666668,19.5115,18.3415,19.741333333333333,19.127,19.736333333333327,19.773333333333333,20.1125,20.015,19.650833333333328,20.213166666666673,19.528166666666667,19.2
2015-03-30,19.108333333333327,19.1,18.789666666666665,19.068166666666666,18.314666666666668,18.987833333333327,18.9995,18.868833333333328,17.977499999999996,18.717666666666666,18.281333333333333,18.396666666666672,18.761,19.46433333333333,18.778,18.987666666666666,18.8315,18.176833333333327,18.841666666666665,18.68383333333333,18.9
2015-03-31,20.0435,19.669166666666666,18.432166666666664,19.613666666666663,19.796666666666667,20.488166666666668,19.695833333333336,20.569000000000006,17.15966666666667,19.392,18.232333333333333,20.258666666666667,18.727333333333334,20.201166666666666,18.868666666666666,19.734666666666666,20.241666666666664,19.870666666666665,20.533833333333327,19.755,20.1
2015-04-01,19.073333333333334,18.640333333333334,16.026833333333332,19.593666666666667,18.762833333333333,19.979666666666667,18.516166666666667,19.885833333333334,16.216666666666665,18.966,16.822333333333336,19.242666666666672,17.101,19.733166666666666,17.5745,18.292833333333327,18.838333333333328,18.648666666666667,19.818666666666672,19.068166666666674,18.2
2015-04-02,17.995666666666672,17.896666666666665,15.3875,18.502833333333328,17.612833333333334,18.907166666666665,17.941833333333335,18.986333333333327,15.991666666666667,17.721999999999994,16.192666666666668,17.847999999999995,17.6985,19.04833333333333,17.833000000000006,18.495833333333334,18.103333333333328,17.937,18.972666666666665,17.990833333333327,17.0
2015-04-03,16.34416666666667,16.491666666666664,12.822333333333333,16.74683333333333,15.858666666666664,17.055833333333332,16.176166666666663,17.102666666666668,14.753,15.835166666666666,13.565999999999999,16.004833333333334,15.674166666666665,17.314333333333334,15.117166666666668,16.750333333333334,16.500166666666665,15.978166666666667,16.804000000000002,15.944333333333333,15.4
2015-04-04,18.415166666666668,18.541333333333334,17.858,18.92216666666668,17.592833333333335,18.338,18.319666666666667,18.415333333333333,16.748666666666665,18.148666666666667,17.111166666666666,17.992333333333328,18.298,18.7005,17.146333333333335,18.04966666666667,18.072833333333328,17.551000000000002,18.219166666666666,17.982333333333333,18.4
2015-04-05,20.124166666666667,19.2765,16.871,19.849,19.822,20.720166666666668,19.420833333333334,20.330666666666673,17.092666666666666,19.842,17.4165,19.85216666666668,18.521166666666666,20.548833333333327,18.863333333333333,18.863666666666667,20.0585,19.897333333333336,20.753666666666664,19.984666666666666,19.0
2015-04-06,16.808833333333336,17.248833333333334,16.176166666666663,17.086,16.256833333333333,17.55933333333333,-9999.0,17.418166666666668,15.331833333333336,16.495,16.187833333333334,16.822333333333333,16.69816666666667,17.7355,17.50733333333333,17.46033333333333,17.467,16.767,17.295666666666666,16.850833333333334,16.4
